브랜드,제품군,시리얼넘버,RAM,상품명,화면 크기,해상도,CPU 모델,밝기,주사율,CPU 브랜드,CPU 클럭,GPU 타입,GPU 카드,GPU 코어 수,저장 용량,배터리,무게,os,용도
삼성전자,2018 노트북9 Always,NT900X5N-K37S,8GB,삼성전자 2018 노트북9 Always NT900X5N-K37S,15인치,1920x1080,i3-7100U,정보없음,정보없음,정보없음,2.4GHz,정보없음,정보없음,1,256GB,30Wh,980g,윈도우10,"['사무/인강용', '휴대용/색상: 실버 2018.01. 상품리뷰 4.9']"
LG전자,2019 그램,15ZD990-VX50K,8GB,LG전자 2019 그램 15ZD990-VX50K,15.6인치,1920x1080,i5-8265U,정보없음,정보없음,인텔,1.6GHz,내장그래픽,UHD 620,1,256GB,72Wh,1.09kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2019 그램,17Z990-VA76K,16GB,LG전자 2019 그램 17Z990-VA76K,17인치,2560x1600,i7-8565U,정보없음,정보없음,인텔,1.8GHz,내장그래픽,UHD 620,1,512GB,72Wh,1.34kg,윈도우10,"['사무/인강용', '휴대용']"
삼성전자,2019 노트북 Pen S,NT950SBE-X716A,16GB,삼성전자 2019 노트북 Pen S NT950SBE-X716A,15인치,1920x1080,i7-8565U,정보없음,정보없음,정보없음,1.8GHz,정보없음,정보없음,1,256GB,54Wh,1.56kg,윈도우10,['그래픽작업용/S펜 빌트인/색상: 블루 2019 삼성 노트북 Pen S 인포그래픽 2018.12. 상품리뷰']
삼성전자,2019 노트북 Pen S,NT950SBE-K38,8GB,삼성전자 2019 노트북 Pen S NT950SBE-K38,15인치,1920x1080,i3-8145U,정보없음,정보없음,정보없음,2.1GHz,정보없음,정보없음,1,256GB,54Wh,1.49kg,윈도우10,"['사무/인강용', '휴대용/S펜 빌트인/색상: 블루 2019 삼성 노트북 Pen S 인포그래픽 2018.12. 상품리뷰']"
삼성전자,2019 노트북 Pen S,NT950SBE-X58A,8GB,삼성전자 2019 노트북 Pen S NT950SBE-X58A,15인치,1920x1080,i5-8265U,정보없음,정보없음,정보없음,1.6GHz,정보없음,정보없음,1,256GB,54Wh,1.56kg,윈도우10,['그래픽작업용/S펜 빌트인/색상: 블루 2019 삼성 노트북 Pen S 인포그래픽 2018.12. 상품리뷰']
삼성전자,2019 노트북 Pen S,NT950SBE-X58D,8GB,삼성전자 2019 노트북 Pen S NT950SBE-X58D,15인치,1920x1080,i5-8265U,정보없음,정보없음,정보없음,1.6GHz,정보없음,정보없음,1,256GB,54Wh,1.56kg,윈도우10,['그래픽작업용/UFS 지원/S펜 빌트인/색상: 블루 2020.02.']
삼성전자,2019 노트북 Pen S,NT950SBE-K58W,8GB,삼성전자 2019 노트북 Pen S NT950SBE-K58W,15인치,1920x1080,i5-8265U,정보없음,정보없음,정보없음,1.6GHz,정보없음,정보없음,1,256GB,54Wh,1.51kg,윈도우10,['사무/인강용/S펜 빌트인/색상: 화이트 2019 삼성 노트북 Pen S 인포그래픽 2019.01. 상품리뷰']
LG전자,2019 울트라PC,15U590-GA56K,정보없음,LG전자 2019 울트라PC 15U590-GA56K,15.6인치,1920x1080,i5-8265U,정보없음,정보없음,인텔,1.6GHz,내장그래픽,UHD 620,1,정보없음,정보없음,1.75kg,윈도우10,[]
LG전자,2020 그램15,15ZD90N-VX50K,8GB,LG전자 2020 그램15 15ZD90N-VX50K,15.6인치,1920x1080,i5-1035G,정보없음,정보없음,인텔,1.2GHz,내장그래픽,Iris Plus,1,256GB,80Wh,1.12kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2020 그램15,15ZB995-GP70ML,8GB,LG전자 2020 그램15 15ZB995-GP70ML,15.6인치,1920x1080,i7-10510U,정보없음,정보없음,인텔,1.8GHz,내장그래픽,UHD Graphics,1,256GB,72Wh,1.099kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2020 그램15,15ZD90N-VX70K,8GB,LG전자 2020 그램15 15ZD90N-VX70K,15.6인치,1920x1080,i7-1065G,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Plus,1,256GB,80Wh,1.12kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2020 그램15,15Z995-VP50ML,8GB,LG전자 2020 그램15 15Z995-VP50ML,15.6인치,1920x1080,i5-10210U,정보없음,정보없음,인텔,1.6GHz,내장그래픽,UHD Graphics,1,256GB,72Wh,1.099kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2020 그램15,15Z995-VR50K,8GB,LG전자 2020 그램15 15Z995-VR50K,15.6인치,1920x1080,i5-10210U,정보없음,정보없음,인텔,1.6GHz,내장그래픽,UHD Graphics,1,256GB,72Wh,1.099kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2020 그램17,17Z90N-VA76K,16GB,LG전자 2020 그램17 17Z90N-VA76K,17인치,2560x1600,i7-1065G,정보없음,정보없음,인텔,1.3GHz,내장그래픽,Iris Plus,1,512GB,80Wh,1.35kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2020 울트라PC,15UD40N-GX56K,8GB,LG전자 2020 울트라PC 15UD40N-GX56K,15.6인치,1920x1080,4500U,정보없음,정보없음,AMD,2.3GHz,내장그래픽,Radeon Graphics,1,256GB,52Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2020 울트라PC,15UD40N-GX36K,8GB,LG전자 2020 울트라PC 15UD40N-GX36K,15.6인치,1920x1080,4300U,정보없음,정보없음,AMD,2.7GHz,내장그래픽,Radeon Graphics,1,256GB,52Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2020 울트라PC,15UD50N-GX50K,8GB,LG전자 2020 울트라PC 15UD50N-GX50K WIN10,15.6인치,1920x1080,i5-10210U,정보없음,정보없음,인텔,1.6GHz,내장그래픽,UHD Graphics,1,256GB,35Wh,1.75kg,윈도우10(설치),['사무/인강용']
LG전자,2020 울트라PC,15UD40N-GX76K,8GB,LG전자 2020 울트라PC 15UD40N-GX76K,15.6인치,1920x1080,4700U,정보없음,정보없음,AMD,2.0GHz,내장그래픽,Radeon Graphics,1,256GB,52Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2020 울트라PC,15UD40N-GX56K,16GB,LG전자 2020 울트라PC 15UD40N-GX56K 16GB램,15.6인치,1920x1080,4500U,정보없음,정보없음,AMD,2.3GHz,내장그래픽,Radeon Graphics,1,256GB,52Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2020 울트라PC,15UD40N-GX36K,16GB,LG전자 2020 울트라PC 15UD40N-GX36K 16GB램,15.6인치,1920x1080,4300U,정보없음,정보없음,AMD,2.7GHz,내장그래픽,Radeon Graphics,1,256GB,52Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2020 울트라PC,15UD40N-GX56K,16GB,LG전자 2020 울트라PC 15UD40N-GX56K WIN10 16GB램,15.6인치,1920x1080,4500U,정보없음,정보없음,AMD,2.3GHz,내장그래픽,Radeon Graphics,1,256GB,52Wh,1.8kg,윈도우10(설치),['사무/인강용']
LG전자,2020 울트라PC,15UD40N-GX56K,8GB,LG전자 2020 울트라PC 15UD40N-GX56K WIN11,15.6인치,1920x1080,4500U,정보없음,정보없음,AMD,2.3GHz,내장그래픽,Radeon Graphics,1,256GB,52Wh,1.8kg,윈도우11(설치),['사무/인강용']
LG전자,2020 울트라PC,15UD40N-GX56K,8GB,LG전자 2020 울트라PC 15UD40N-GX56K WIN10,15.6인치,1920x1080,4500U,정보없음,정보없음,AMD,2.3GHz,내장그래픽,Radeon Graphics,1,256GB,52Wh,1.8kg,윈도우10(설치),['사무/인강용']
LG전자,2021 그램14,14ZD90P-GX50K,8GB,LG전자 2021 그램14 14ZD90P-GX50K,14인치,1920x1200,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,72Wh,999g,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램14,14ZD90P-GX5BK,8GB,LG전자 2021 그램14 14ZD90P-GX5BK,14인치,1920x1200,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,72Wh,999g,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램14,14Z90P-GA76K,8GB,LG전자 2021 그램14 14Z90P-GA76K,14인치,1920x1200,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,256GB,72Wh,999g,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램14,14Z95N-GR50ML,8GB,LG전자 2021 그램14 14Z95N-GR50ML,14인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,72Wh,999g,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램14,14ZD90P-GX70K,8GB,LG전자 2021 그램14 14ZD90P-GX70K WIN10,14인치,1920x1200,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,256GB,72Wh,999g,윈도우10(설치),"['사무/인강용', '휴대용']"
LG전자,2021 그램14,14ZD90P-GX70K,8GB,LG전자 2021 그램14 14ZD90P-GX70K,14인치,1920x1200,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,256GB,72Wh,999g,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15ZB95N-GP50ML,8GB,LG전자 2021 그램15 15ZB95N-GP50ML,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.12kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15ZD90P-GX56K,16GB,LG전자 2021 그램15 15ZD90P-GX56K,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.12kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15Z95N-GP55ML,16GB,LG전자 2021 그램15 15Z95N-GP55ML,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.12kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15Z95N-GA5SK,16GB,LG전자 2021 그램15 15Z95N-GA5SK,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.12kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15Z90P-GR50K,8GB,LG전자 2021 그램15 15Z90P-GR50K,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.12kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15Z90P-GA76K,16GB,LG전자 2021 그램15 15Z90P-GA76K,15.6인치,1920x1080,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,512GB,80Wh,1.12kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15Z95N-GA56K,16GB,LG전자 2021 그램15 15Z95N-GA56K,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.12kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15Z95N-GRFMK,8GB,LG전자 2021 그램15 15Z95N-GRFMK,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.12kg,윈도우10(버전확인필요),"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15Z95N-GP79ML,16GB,LG전자 2021 그램15 15Z95N-GP79ML,15.6인치,1920x1080,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,512GB,80Wh,1.12kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15ZD95N-GX56K,16GB,LG전자 2021 그램15 15ZD95N-GX56K,15.6인치,정보없음,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.12kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15ZD90P-GX50K,8GB,LG전자 2021 그램15 15ZD90P-GX50K,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.12kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15Z90P-GA5WK,16GB,LG전자 2021 그램15 15Z90P-GA5WK,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.12kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15Z95N-GP50ML,8GB,LG전자 2021 그램15 15Z95N-GP50ML,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.12kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15ZD95N-GX56K,16GB,LG전자 2021 그램15 15ZD95N-GX56K WIN10,15.6인치,정보없음,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.12kg,윈도우10(설치),"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15ZD90P-GX30K,8GB,LG전자 2021 그램15 15ZD90P-GX30K,15.6인치,1920x1080,i3-1115G,정보없음,정보없음,인텔,3.0GHz,내장그래픽,UHD Graphics,1,256GB,80Wh,1.12kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15Z90P-GR56K,8GB,LG전자 2021 그램15 15Z90P-GR56K,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,512GB,80Wh,1.12kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램15,15ZD95N-GX70K,16GB,LG전자 2021 그램15 15ZD95N-GX70K,15.6인치,정보없음,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.12kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16ZD90P-GX5BK,8GB,LG전자 2021 그램16 16ZD90P-GX5BK,16인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.19kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16ZD90P-GX30K,8GB,LG전자 2021 그램16 16ZD90P-GX30K,16인치,2560x1600,i3-1115G,정보없음,정보없음,인텔,3.0GHz,내장그래픽,UHD Graphics,1,256GB,80Wh,1.19kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16ZD90P-GX5TK,16GB,LG전자 2021 그램16 16ZD90P-GX5TK,16인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.19kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16ZD90P-GX56K,16GB,LG전자 2021 그램16 16ZD90P-GX56K,16인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.19kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16ZD90P-GX5SK,16GB,LG전자 2021 그램16 16ZD90P-GX5SK,16인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.19kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16Z90P-GA50K,8GB,LG전자 2021 그램16 16Z90P-GA50K,16인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.19kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16Z90P-GA5BK,8GB,LG전자 2021 그램16 16Z90P-GA5BK,16인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.19kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16ZD90P-GX50K,8GB,LG전자 2021 그램16 16ZD90P-GX50K,16인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.19kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16Z90P-GA56K,8GB,LG전자 2021 그램16 16Z90P-GA56K,16인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,512GB,80Wh,1.19kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16Z90P-GA5IK,16GB,LG전자 2021 그램16 16Z90P-GA5IK,16인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.19kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16ZD90P-GX5LK,16GB,LG전자 2021 그램16 16ZD90P-GX5LK,16인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.19kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16ZD90P-GX56K,16GB,LG전자 2021 그램16 16ZD90P-GX56K WIN10,16인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.19kg,윈도우10(설치),"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16ZD90P-GX50K,8GB,LG전자 2021 그램16 16ZD90P-GX50K WIN10,16인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.19kg,윈도우10(설치),"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16Z90P-GA76K,16GB,LG전자 2021 그램16 16Z90P-GA76K,16인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,512GB,80Wh,1.19kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16Z90P-OA7LK,16GB,LG전자 2021 그램16 16Z90P-OA7LK,16인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,512GB,80Wh,1.19kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16Z90P-GA7LK,16GB,LG전자 2021 그램16 16Z90P-GA7LK,16인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,512GB,80Wh,1.19kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16ZD90P-GX56K,16GB,LG전자 2021 그램16 16ZD90P-GX56K WIN11,16인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.19kg,윈도우11(설치),"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16ZD90P-GX70K,8GB,LG전자 2021 그램16 16ZD90P-GX70K WIN11,16인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.19kg,윈도우11(설치),"['사무/인강용', '휴대용']"
LG전자,2021 그램16,16ZD90P-GX76K,16GB,LG전자 2021 그램16 16ZD90P-GX76K,16인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.19kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17Z95N-GR51ML,8GB,LG전자 2021 그램17 17Z95N-GR51ML,17인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,윈도우11홈,"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD90P-GX76K,16GB,LG전자 2021 그램17 17ZD90P-GX76K,17인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17Z90P-GA76K,16GB,LG전자 2021 그램17 17Z90P-GA76K,17인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,512GB,80Wh,1.35kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD90P-GX56K,16GB,LG전자 2021 그램17 17ZD90P-GX56K,17인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD90P-GX7BK,8GB,LG전자 2021 그램17 17ZD90P-GX7BK WIN10,17인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,윈도우10(설치),"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD90P-GX7BK,8GB,LG전자 2021 그램17 17ZD90P-GX7BK,17인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD90P-GX5SK,16GB,LG전자 2021 그램17 17ZD90P-GX5SK,17인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD90P-GX5BK,8GB,LG전자 2021 그램17 17ZD90P-GX5BK WIN10,17인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,윈도우10(설치),"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD90P-GX50K,8GB,LG전자 2021 그램17 17ZD90P-GX50K,17인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17Z90P-OA7FK,16GB,LG전자 2021 그램17 17Z90P-OA7FK,17인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,512GB,80Wh,1.35kg,윈도우10,"['사무/인강용', '휴대용/Microsoft 365 Personal (1년 구독권) 제공']"
LG전자,2021 그램17,17ZD95N-GX5SK,16GB,LG전자 2021 그램17 17ZD95N-GX5SK,17인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD90P-GX30K,8GB,LG전자 2021 그램17 17ZD90P-GX30K WIN10,17인치,2560x1600,i3-1115G,정보없음,정보없음,인텔,3.0GHz,내장그래픽,UHD Graphics,1,256GB,80Wh,1.35kg,윈도우10(설치),"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD90P-GX70K,8GB,LG전자 2021 그램17 17ZD90P-GX70K WIN10,17인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,윈도우10(설치),"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD90P-GX56K,16GB,LG전자 2021 그램17 17ZD90P-GX56K WIN10,17인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,윈도우10(설치),"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD90P-GX76K,16GB,LG전자 2021 그램17 17ZD90P-GX76K WIN10,17인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,윈도우10(설치),"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD90P-GX70K,8GB,LG전자 2021 그램17 17ZD90P-GX70K,17인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD90P-GX7LK,16GB,LG전자 2021 그램17 17ZD90P-GX7LK WIN10,17인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,윈도우10(설치),"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD90P-GX50K,8GB,LG전자 2021 그램17 17ZD90P-GX50K WIN10,17인치,2560x1600,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,윈도우10(설치),"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17Z95N-OA76K,16GB,LG전자 2021 그램17 17Z95N-OA76K,17인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,512GB,80Wh,1.35kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD95N-GX76K,16GB,LG전자 2021 그램17 17ZD95N-GX76K,17인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,256GB,80Wh,1.35kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17Z90P-OA76K,16GB,LG전자 2021 그램17 17Z90P-OA76K,17인치,2560x1600,i7-1165G,정보없음,정보없음,인텔,2.8GHz,내장그래픽,Iris Xe,1,512GB,80Wh,1.35kg,윈도우10,"['사무/인강용', '휴대용']"
LG전자,2021 그램17,17ZD90P-GX30K,8GB,LG전자 2021 그램17 17ZD90P-GX30K,17인치,2560x1600,i3-1115G,정보없음,정보없음,인텔,3.0GHz,내장그래픽,UHD Graphics,1,256GB,80Wh,1.35kg,정보없음,"['사무/인강용', '휴대용']"
LG전자,2021 울트라PC,15U50P-GR56K,8GB,LG전자 2021 울트라PC 15U50P-GR56K,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,51Wh,1.8kg,윈도우10,['사무/인강용']
LG전자,2021 울트라PC,15UD50P-GX50K,8GB,LG전자 2021 울트라PC 15UD50P-GX50K,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,51Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2021 울트라PC,15UD50P-GX30K,8GB,LG전자 2021 울트라PC 15UD50P-GX30K,15.6인치,1920x1080,i3-1115G,정보없음,정보없음,인텔,3.0GHz,내장그래픽,UHD Graphics,1,128GB,51Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2021 울트라PC,15U50P-GR56K,16GB,LG전자 2021 울트라PC 15U50P-GR56K 16GB램,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,51Wh,1.8kg,윈도우10,['사무/인강용']
LG전자,2021 울트라PC,15UD50P-GX50K,16GB,LG전자 2021 울트라PC 15UD50P-GX50K 16GB램,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,51Wh,1.8kg,정보없음,['사무/인강용']
LG전자,2021 울트라PC,15UD50P-GX50K,16GB,LG전자 2021 울트라PC 15UD50P-GX50K WIN11 16GB램,15.6인치,1920x1080,i5-1135G,정보없음,정보없음,인텔,2.4GHz,내장그래픽,Iris Xe,1,256GB,51Wh,1.8kg,윈도우11(설치),['사무/인강용']
